ch03_01_568 301P207下标高1,800
ch02_01_008 50度风
ch03_01_524 301可以进跑道
ch03_01_555 301可以起飞301明白
ch03_01_165 4018经07道空中滑行至停机坪注意两边的吹雪
ch02_01_072 好的
ch02_01_076 对的你现在航向可以飞渭南了
ch03_01_276 301襟翼全放
ch01_01_033 现在我要这个
ch03_01_550 301检查好滑出
ch02_01_017 呃不太能见
ch03_01_675 发动机拉烟
ch03_01_650 安检
ch03_01_534 301二转弯
ch02_01_030 呃本场没有活动
ch02_01_005 完毕
ch03_01_395 跟着落地的3107进跑道等待
ch03_01_545 301可以关车再见再见
ch03_01_455 301校波
ch03_01_134 云高356米
ch03_01_551 301可以滑出滑行注意观察301明白30103号进跑道
ch03_01_522 301301检查好滑出
ch03_01_004 长江4018请求开车
ch02_01_081 1号3号5号交
ch02_01_015 17
ch03_01_310 呃301高度317通场
ch03_01_182 哎4栋18明白
ch02_01_077 好嘞现在航向飞渭南
ch03_01_003 4018长江收到声音好
ch03_01_186 工作正常
ch03_01_164 4018明白
ch03_01_137 塔台4018
ch02_01_060 对的可以开车了
ch03_01_346 呃301可以开车应答机3107
ch01_01_042 速度160 3公里1号
ch03_01_647 放平舵上左舵
ch03_01_274 301起落架放好三转弯
ch03_01_196 飞跃P256报
ch03_01_368 301明白
ch03_01_621 2-6米每秒能见度6公里场压710
ch03_01_492 301准备左转
ch03_01_339 301明白对正报告
ch03_01_604 云正在消散
ch03_01_644 带杆
ch01_01_022 好的明白了好另外呃落地可以联系对吧
ch03_01_474 301请示15号进跑道
ch03_01_451 301右转下降24
ch03_01_564 301明白
ch03_01_645 迎杆
ch03_01_527 301打开地平仪接通自驾
ch03_01_188 4018可以脱波再见
ch03_01_542 301三号脱离
ch03_01_238 场高900请求加入方法
ch03_01_294 301计时起飞
ch03_01_546 1号301检查好开车
ch03_01_260 呃301换2波道
ch01_01_009 4151锦州1号
ch03_01_470 301
ch03_01_252 4018
ch03_01_018 长江4018请求进跑道
ch03_01_428 呃02右转出航
ch03_01_528 可以悬停检查
ch03_01_132 预达时刻11:15请求着陆条件
ch03_01_477 301起飞时间07
ch03_01_032 4018三转弯报
ch03_01_402 请示上标高54P51时间07
ch01_01_041 明白
ch03_01_354 301
ch03_01_160 左转建立左航线
ch04_01_010 好的一会见
ch02_01_013 好的你现在可以继续下到场高12
ch02_01_024 可以你下到场高700本场以东11公里下到场高700
ch03_01_348 应答机3107场压317
ch03_01_316 301进入点
ch03_01_610 建议飞备份计划
ch03_01_547 301可以开车
ch03_01_473 800800
ch03_01_602 云量少云
ch03_01_090 4018保持场高156米
ch03_01_210 联系07进塔台
ch03_01_643 松杆
ch03_01_401 301明白301呃远台侧方右转出航
ch03_01_471 301地面左侧风地面左侧风301
ch03_01_397 301可以起飞
ch02_01_022 啊你现在高度
ch02_01_020 对的渭南以后左转
ch03_01_180 听指令上升3107米报
ch02_01_018 好的那你一会回南以后左转给我三遍导航台吧加我三遍
ch03_01_378 301可以开车
ch03_01_161 4018明白
ch03_01_322 3013转弯
ch03_01_064 4018切台报
ch03_01_304 301退出1号
ch03_01_579 301明白301三号道脱离
ch03_01_533 301一转弯
ch03_01_652 关车报告
ch03_01_607 301航线上严重颠簸
ch03_01_343 301可以开车
ch03_01_648 停止起飞
ch03_01_500 解散301走
ch02_01_001 好的本场场压
ch03_01_567 呃301P206P20740分
ch03_01_200 备份航线P256直飞P283
ch02_01_055 1199对吗
ch03_01_173 4018保持场高317后出航
ch01_01_037 速度320 7公里1号
ch03_01_227 4018明白
ch03_01_093 泰山4018叫
ch03_01_423 可以下600
ch03_01_632 带杆带杆上升高度
ch03_01_079 4018明白
ch03_01_666 公里每小时
ch03_01_118 保持7,200米
ch03_01_464 302应答机3107
ch03_01_640 加油门
ch03_01_659 耗去必要油量立即着陆
ch03_01_089 4018检查好可以起飞北风5米每秒
ch03_01_664 到高度2,000还未开成就跳伞
ch03_01_614 呃碧空
ch07_01_001 17
ch04_01_008 好的着陆方向由西向东我落地以后不用加油你给我来个停车
ch03_01_147 4018可以下降高度
ch03_01_251 4018明白
ch03_01_472 800正常拦截
ch03_01_592 航线第一边有降雨
ch01_01_007 2号声音好
ch03_01_319 301起始点
ch03_01_009 长江4018请求滑出
ch03_01_235 4018继续下降到标压7,500报
ch03_01_403 P5107收到
ch02_01_009 3-5米着陆方向由西向东
ch03_01_651 换人
ch03_01_077 4018高度160米出云
ch03_01_168 4018
ch03_01_476 303到位
ch03_01_447 场高317301左转加入空域保持场高3107
ch02_01_033 好的
ch03_01_187 呃与泰山联系好请求脱波
ch02_01_074 上标准气压3,600连续进频率119.9
ch03_01_257 4018可以脱波再见
ch03_01_321 301明白航线第三架
ch03_01_422 301远台侧方下600
ch03_01_391 301跟着陆地的
ch03_01_478 收到302
ch01_01_046 对的 上场高700 联系1196
ch03_01_519 301可以开车
ch03_01_138 着陆条件超收本场场压756跑道07
ch03_01_594 云中有颠簸
ch03_01_013 跑道07
ch02_01_011 啊下站联系1900
ch03_01_119 史各庄等待
ch03_01_373 明白301
ch04_01_001 好的本场场压
ch03_01_577 301过台02左着陆
ch03_01_364 301一转弯
ch03_01_587 云低高多少
ch03_01_656 闪亮着陆灯请求紧急下降优先着陆
ch02_01_038 3号5号明白
ch03_01_565 3栋1P206P20740分
ch01_01_031 4151三转弯
ch03_01_673 剩油警告灯亮
ch03_01_189 泰山4018
ch03_01_676 请求投掉副油箱
ch03_01_332 301
ch02_01_058 对的119.9119.9
ch03_01_176 泰山4018叫
ch03_01_549 应答机3107场压317301
ch03_01_608 301航线上严重积冰
ch03_01_362 301检查好起飞301可以起飞
ch01_01_032 3号5号开机工作
ch03_01_605 无重大变化完毕
ch01_01_030 好三转弯报
ch03_01_256 长江4018看到地面指挥请求脱波
ch03_01_209 啊4018明白频率317.07
ch03_01_573 03分
ch02_01_006 733.2进跑道
ch03_01_117 4018明白
ch03_01_517 301可以301请示快速下降到18
ch01_01_026 好的4151你三边报一下
ch03_01_424 301明白301三转弯
ch03_01_383 301检查好滑出
ch02_01_023 高度2,100渭南继续下降
ch03_01_204 4018明白保持7,200
ch03_01_513 收到301发现目标开始工作
ch03_01_074 4018过远台
ch03_01_005 4018检查好可以开车
ch03_01_258 1号301
ch03_01_490 301高度12保持平飞
ch02_01_021 回答
ch01_01_035 12公里偏左100米
ch03_01_055 4018检查好可以起飞
ch03_01_292 301连续计时
ch03_01_596 301可以着陆左侧风四五度6-8米
ch03_01_365 301远台侧方
ch03_01_201 嗯飞备份航线P256直飞P2834018
ch03_01_637 拉开始动作柔和
ch03_01_360 稍等301
ch03_01_538 301过台02左左着陆
ch03_01_512 301可以下900301通过起点上空时间07
ch03_01_152 4018保持场高900米加入左起落航线左三边
ch03_01_570 301可以下1,800P20853分收到
ch03_01_431 301可以着陆
ch03_01_563 P20628分收到
ch03_01_040 起落架好请求着陆
ch02_01_050 应答机不变
ch03_01_071 4018明白40184转弯
ch03_01_499 高度400改平301准备解散
ch03_01_523 301可以滑出滑行注意观察301明白30103号进跑道30103号进跑道
ch03_01_266 301可以滑出
ch02_01_032 云底高有个200两吧
ch02_01_053 呃听我指挥上升
ch02_01_063 收到
ch03_01_660 中断起飞
ch03_01_072 4018检查好起落架过远台报
ch03_01_351 301可以滑出滑行注意观察
ch03_01_298 302
ch03_01_553 301打开地平仪接通自驾可以悬停检查301明白
ch03_01_463 应答机3107场压317301
ch03_01_068 4018明白
ch03_01_111 飞跃P256报
ch03_01_649 中断起飞注意障碍物
ch02_01_045 017干扰了重复一下
ch03_01_609 建议飞本场空域
ch03_01_221 预达时刻1115请求着陆条件
ch03_01_205 飞史各庄等待
ch03_01_511 风向317风速07场压317301301右转进入空投下900
ch03_01_642 稳杆
ch03_01_103 4018标高1389米工作正常与泰山联系好请求脱波
ch03_01_243 起落架放好请求着陆
ch03_01_559 301p205请示上
ch03_01_048 注意地面引导
ch03_01_242 长江4018
ch02_01_039 呃检查一下你的着陆灯
ch03_01_142 场场面温度20度本场没有活动
ch03_01_281 301二转弯改出
ch03_01_603 云底1,800云顶3,600能见度大于10公里
ch02_01_071 呃你再保持30秒
ch03_01_359 进跑道301
ch03_01_094 泰山回答4018
ch02_01_052 航向飞渭南
ch03_01_326 301脱离
ch03_01_670 左起落架未放好
ch03_01_136 本场没有活动
ch03_01_548 应答机3107场压317
ch03_01_141 北风5米每秒
ch03_01_193 4018标高9标高9,000工作正常预计进入时刻1212
ch03_01_177 泰山回答4018
ch03_01_158 4018复飞
ch03_01_179 保持上升场高317
ch02_01_068 好的4017你保持700听我指挥继续上升
ch03_01_301 301可以进入1号
ch03_01_430 02右转连续
ch03_01_622 4018高度12通场
ch03_01_369 301五边向台
ch03_01_199 4018因雷暴P256到ZM导航台不能飞
ch03_01_308 301高度317
ch01_01_028 好的继续下降高度
ch03_01_108 工作正常预计进入时刻11212
ch03_01_082 左转脱离4号停机位注意地面引导
ch03_01_377 1号301检查好开车
ch02_01_059 啊119.9好吧
ch02_01_046 那个下一站已经放飞了
ch02_01_031 呃本场就云比较低你到时候看一下
ch03_01_275 301可以三转弯风向90度4米每秒
ch03_01_192 泰山
ch03_01_329 301FAF点
ch03_01_025 起飞
ch03_01_572 到场
ch03_01_387 301请示进跑道
ch03_01_156 4018明白
ch03_01_662 试试空中开车
ch03_01_335 301控制好速
ch03_01_212 频率317.07前方联系07
ch02_01_079 哎谢谢了
ch03_01_541 301明白
ch03_01_307 301301可以加入三转弯直接着陆
ch03_01_429 呃301起落架放好
ch03_01_444 301进入本场空域
ch01_01_017 啊可以啊
ch03_01_086 四洞18看到地面指挥请求脱波
ch03_01_491 302
ch03_01_220 4018标高89能见飞行工作正常
ch03_01_198 飞跃P256报
ch01_01_018 好的那你直接下场高15然后通场加入左三边高度可以继续下了
ch03_01_291 301可以着陆最后一次
ch01_01_038 速度300 6公里1号
ch03_01_154 长江4018起落架放好请求着陆
ch03_01_215 频率317.07联系07进塔台
ch03_01_493 301左转
ch03_01_297 302收到
ch03_01_229 跑道07
ch03_01_408 301p92P10107
ch03_01_236 4018明白
ch03_01_461 场压317应答机3107
ch01_01_036 350 8公里1号
ch03_01_323 301可以
ch03_01_035 4018明白四转弯报
ch03_01_228 场压756
ch03_01_482 301准备改出
ch03_01_095 泰山4018
ch03_01_140 128米云量5个
ch03_01_628 加速滑行
ch03_01_314 301
ch03_01_037 4018过台报
ch03_01_505 301工作好左转上场高12
ch03_01_400 301可以上场高24
ch03_01_045 3号脱离
ch03_01_124 4018
ch03_01_623 近台上空加入右起落4018长五边着落
ch03_01_325 301控制好速度脱离报
ch03_01_336 301控制好速度脱离吧
ch03_01_345 场压317
ch03_01_344 应答机
ch03_01_211 4018
ch03_01_039 4018过台
ch03_01_658 立即着陆
ch03_01_580 301滑行注意观察
ch03_01_521 应拉机三幺洞拐查三幺拐
ch03_01_569 P20853分
ch03_01_277 301可以着陆最后一次
ch03_01_269 301可以进跑道
ch03_01_230 4018明白场压756跑道07
ch03_01_496 301远台侧风
ch03_01_393 进跑道301
ch03_01_376 301可以关车再见再见
ch07_01_002 好的你现在可以继续下到我场高12
ch03_01_046 呃前方左转脱离
ch03_01_085 左转脱离
ch03_01_217 4018长江收到
ch03_01_385 滑行注意观察
ch03_01_023 4米每秒
ch03_01_239 4018
ch03_01_067 40183转弯报
ch02_01_067 对的
ch03_01_116 4018
ch03_01_485 303可以入队
ch03_01_338 301对正报告
ch03_01_133 4018着陆条件超收本场场压756跑道07能见度大于10公里
ch03_01_458 302 303
ch03_01_593 飞机结冰
ch03_01_497 301计时3分钟左转收到301
ch03_01_469 301稍等
ch03_01_552 301可以进跑道进跑道301301悬停检查
ch03_01_586 云量有几个5-6个云量
ch03_01_576 301可以三转弯301明白301五边向台
ch03_01_350 301检查好滑出
ch03_01_407 301可以下54
ch03_01_404 收到301301P51P88时间07请至上57
ch03_01_114 备份航线P256直飞P283
ch03_01_015 跑道头进跑道
ch03_01_341 301可以下降
ch03_01_272 301计时起飞
ch03_01_574 301可以下900到场03分收到301明白山洞1左转下500301可以左转下500301明白301进方进台侧方
ch01_01_016 啊军运说是你可以直接下降高度吗
ch03_01_450 301可以右转下降24
ch03_01_454 301明白
ch03_01_248 4018高度317左转建立左航线
ch03_01_460 301可以开车
ch03_01_088 长江4018请求起飞
ch03_01_333 襟翼全放
ch03_01_206 4018在整点前通过P3P322
ch03_01_536 301三转弯
ch03_01_038 4018明白
ch03_01_170 长江4018请求起飞
ch03_01_554 301检查好起飞
ch03_01_030 4018切台方
ch03_01_123 P377前保持速度
ch03_01_271 301工作好
ch02_01_014 好嘞我场高12
ch03_01_468 301可以滑出注意观察
ch03_01_268 301可进跑道
ch03_01_287 301放好下降
ch03_01_382 场压317301
ch03_01_286 301可以左转进入着陆航向
ch03_01_202 4018
ch01_01_008 3号明白
ch03_01_515 收到
ch02_01_004 地面能见度大于两公里
ch02_01_007 这个5度
ch03_01_293 301工作好
ch03_01_222 4018
ch01_01_027 啊在我三边报4151
ch02_01_042 东边2号道口退出退出注意观察
ch03_01_358 301跟着陆地的3107进跑道等待
ch03_01_309 左转通过
ch02_01_035 呃导航牌房间都工作好了你再检查一下
ch03_01_590 能见度很差观察地标困难
ch01_01_044 可以起飞
ch02_01_073 可以上升
ch03_01_484 303入队
ch03_01_459 1号301请示开车
ch03_01_052 4018看到地面指挥请求脱波
ch03_01_504 301可以着陆
ch01_01_006 1号3号叫
ch03_01_223 着陆条件抄收
ch02_01_051 呃起飞方向不变由西向东起飞以后呃
ch03_01_540 301可以着陆
ch02_01_025 好的
ch03_01_010 4018检查好可以左转滑出跑道07
ch03_01_162 4018
ch03_01_069 40183转弯
ch03_01_449 高度3107301301右转下降24
ch03_01_056 起飞飞左直角大航线
ch03_01_166 4018明白
ch03_01_076 4018明白
ch03_01_657 立即跳伞
ch03_01_054 4018请求起飞
ch03_01_438 301可以连续
ch03_01_507 301远台侧方要气象资料起飞时间07
ch03_01_139 能见度大于12公里云高
ch03_01_183 保持场高标高3107
ch03_01_296 301明白1号301高度4,000通过1号
ch03_01_453 301可以
ch06_01_002 可以进跑道
ch03_01_561 P20628分
ch02_01_054 然后联系进频率1199
ch03_01_184 呃听指令上升3呃标压3107米报
ch03_01_265 301滑出
ch01_01_025 好的起飞以后联系1196对吧
ch03_01_231 4018请求下降高度
ch01_01_045 啊联系119.6啊
ch03_01_483 301改出航向195度
ch04_01_009 啊下站联系1900
ch03_01_081 4号脱离
ch03_01_270 301明白
ch03_01_306 301高度07加入三转弯
ch02_01_044 可以退出
ch03_01_445 301本场
ch03_01_448 工作区域
ch02_01_075 3,600%119.9
ch03_01_616 请求天气情况
ch03_01_174 4018前方联系泰山联系好报
ch03_01_066 4018切台
ch03_01_529 可以悬停检查301
ch03_01_636 检查下滑速度
ch03_01_104 4018可以脱波再见
ch03_01_267 301明白
ch02_01_066 啊4017场高700报
ch03_01_159 4018高度356米
ch03_01_050 3号脱离
ch03_01_331 明白301
ch03_01_531 301可以起飞
ch01_01_021 啊如果高度来不及的话可以往前再飞上一分钟半分钟
ch03_01_494 301准备改出
ch03_01_167 长江4018看到地面指挥请求脱波
ch03_01_558 p20509分收到
ch03_01_241 4018明白
ch03_01_129 报告高度位置预达时刻
ch03_01_026 飞左起落航线50度左侧风4米每秒
ch03_01_663 到高度2,000
ch03_01_036 40184转弯
ch03_01_143 4018明白
ch02_01_080 客气
ch03_01_457 301 1波道
ch01_01_049 啊可能得呃一个半小时吧
ch01_01_029 好4151继续下降高度了三转弯报一下
ch03_01_355 请示向前滑
ch03_01_544 301到位关车
ch03_01_233 标高8,100报
ch03_01_437 02右连续
ch03_01_237 长江4018
ch03_01_060 一转弯
ch03_01_352 301明白
ch03_01_163 5号联络道脱离地面有引导看到报告
ch03_01_282 301明白
ch03_01_631 保持方向不要偏左
ch03_01_668 燃油严重泄漏
ch02_01_036 这边有降水吗
ch03_01_629 抬前轮
ch03_01_261 1号3012号准备好
ch01_01_001 7号1号叫
ch02_01_056 对的前面有个航向渭南上到场高700听我指挥继续上升联系频率1199
ch03_01_599 云量少云
ch02_01_061 右转滑出2号道进
ch03_01_562 301可以上2,700
ch03_01_059 4018高度150米
ch03_01_107 预计进入本区时刻
ch03_01_049 4018明白
ch03_01_386 301明白
ch03_01_150 4018继续下降到标压7,500米报
ch03_01_495 301改出航向285
ch03_01_456 302303
ch03_01_313 距南进入点2分钟
ch03_01_516 301工作完毕右转下600
ch03_01_144 场压756
ch03_01_337 301脱离
ch03_01_615 天气不晴朗
ch03_01_232 4018可以下降高度
ch03_01_620 4018跑道02右地面风30度
ch03_01_518 1号301检查好开车
ch03_01_190 4018泰山回答工作情况
ch03_01_627 联系成都近进频率119.25
ch03_01_044 4018一直向前滑注意减速
ch03_01_234 呃4018标高8,100
ch03_01_216 长江4018叫
ch03_01_253 经07道空中滑行至停机坪注意两边的吹雪
ch03_01_638 看地面
ch03_01_021 4018检查好可以起飞
ch03_01_213 进近塔台
ch02_01_064 可以进跑道
ch03_01_678 检查速度
ch03_01_535 301近台侧方
ch03_01_654 摇动机翼
ch03_01_381 应答机场压3107
ch03_01_197 4018明白
ch03_01_503 起落架好着陆
ch03_01_342 1号301检查好开车
ch03_01_022 起飞飞左起落航线50度左侧
ch03_01_263 301稍等
ch03_01_347 场压317
ch03_01_589 301训练空域天气怎么样
ch03_01_027 4018明白
ch01_01_040 可以落地落地可以联系
ch03_01_374 301脱离301可以
ch03_01_153 4018明白
ch03_01_370 301起落架放好
ch03_01_443 再见
ch03_01_357 301跑道口等待
ch03_01_581 301明白
ch03_01_109 4018保持标高9千米飞跃P256报
ch03_01_262 301开车
ch03_01_413 301可以下24场压317
ch03_01_061 40182转弯报
ch03_01_556 301左转上900
ch03_01_125 频率321.22
ch03_01_033 4018放起落架三转弯
ch03_01_426 301明白301五边向台
ch03_01_029 4018明白
ch04_01_002 733.2 733.2温度5度温度5度
ch03_01_317 301起始点报
ch04_01_005 完毕
ch03_01_671 机上着火我正在迫降
ch01_01_012 这边场压733.9 733.9着陆方向由西向东由西向东本场基本静风0-2
ch03_01_311 301可以通场
ch02_01_070 啊什么时候可以上升高度
ch02_01_040 好的我要放到那个什么没开呢好吧
ch03_01_247 复飞
ch02_01_029 好的
ch03_01_411 301P101到场07
ch03_01_047 3号停机位
ch03_01_475 301可以进跑道
ch03_01_284 1号明白
ch01_01_019 好的下场高1,500
ch03_01_102 听指令上升1389米包
ch03_01_091 4018前方联系泰山联系好报
ch01_01_013 好的一会见了
ch03_01_290 301襟翼全放
ch03_01_328 301右盘旋
ch02_01_065 4017检查好可以起飞
ch01_01_034 现在地面230多风3米
ch03_01_034 4018四转弯报
ch03_01_340 301对正下降
ch03_01_244 4018检查好起落架可以着陆
ch03_01_075 起落架好请求着陆4018出云报
ch03_01_105 泰山4018
ch03_01_219 预达时刻
ch03_01_591 301航线天气怎么样
ch03_01_514 301可以开始工作301准备301投下
ch03_01_070 40184转弯报
ch03_01_598 1号稍等301在云中301报告航线天气
ch03_01_019 4018检查好可以进跑道
ch03_01_002 声音怎么样
ch03_01_106 4018泰山回答工作情况
ch03_01_375 301到位请求关车
ch03_01_578 301可以着陆
ch03_01_584 能见度几公里
ch03_01_415 场压317301
ch03_01_017 4018明白
ch01_01_010 4151锦州1号叫
ch03_01_543 呃3号道脱301三号道脱离301滑行注意观察301明白
ch03_01_051 前方左转脱离
ch01_01_020 通场加入左三边
ch03_01_145 跑道07
ch03_01_110 4018明白
ch03_01_371 02右着陆
ch03_01_508 800风向317
ch03_01_073 4018明白
ch03_01_099 听指令上标压1389米报
ch01_01_005 好的投资条件您稍等一下啊我这还没要到呢
ch03_01_349 301
ch03_01_626 左转浦江上标高45
ch03_01_279 301工作好
ch03_01_467 301请示滑出
ch03_01_330 301高度200
ch03_01_006 场压756
ch03_01_020 长江4018请求起飞
ch03_01_462 301稍等
ch03_01_024 4018检查好可以起飞
ch03_01_427 301起落架放好
ch03_01_264 301明白
ch02_01_037 对的本场目前有降水你也可以观察
ch03_01_135 云量5个北风5米每秒场面温度20度
ch03_01_122 4018明白
ch03_01_112 4018因雷暴
ch03_01_419 301
ch01_01_011 啊4151回答1号
ch03_01_130 4018标高89
ch01_01_004 锦州回答4151声音好
ch03_01_101 保持标高1389
ch03_01_392 317进跑道等待
ch03_01_434 起落架放好
ch03_01_398 可以起飞301301工作好
ch03_01_255 4018经07道空中滑行至停机坪注意两边的吹雪
ch03_01_181 啊4栋18明白保持标高3107听指令上升3107米
ch03_01_597 顺风2-3米每秒3011号航线天气怎么样
ch03_01_526 301悬停检查
ch02_01_019 呃好的
ch03_01_246 4018跑道入侵复飞
ch03_01_115 飞备份航线P256直飞P2834018
ch03_01_520 应答机3107场压3107
ch03_01_481 301左转
ch03_01_327 301距南f a f点2分钟
ch03_01_299 高度3,500以下活动上方4,000有通过
ch03_01_583 301天气怎么样天气良好
ch03_01_121 4018明白整点前通过P3224018在P377前保持当前速度
ch03_01_028 4018切台方报
ch03_01_195 保持标高9,000
ch03_01_410 请示下场高24
ch03_01_254 4018明白
ch03_01_011 滑行道滑行跑道头进跑道
ch03_01_560 标准气压高2,700
ch02_01_028 可以呃下700后面正常做
ch06_01_003 起飞方向由西向东
ch03_01_585 高度500能见度大于6千米
ch03_01_120 4018在整点前通过P322
ch01_01_039 速度260 5公里1号
ch03_01_582 301到位关车再见再见
ch03_01_665 不放襟翼和起落架的下滑速度是317
ch02_01_041 好的看到你了检查好可以落地
ch02_01_010 好的着陆方向由西向东我落地以后不用加油你给我来个停车
ch03_01_113 P256到ZM导航台不能飞
ch03_01_194 4018
ch03_01_053 再见
ch04_01_007 3-5米着陆方向由西向东
ch02_01_026 我直接给你安排导航台
ch03_01_214 4018明白
ch03_01_363 可以起飞301
ch03_01_014 滑行道滑行
ch03_01_315 左盘旋
ch03_01_613 好天气
ch03_01_191 预计进入本区时刻
ch03_01_361 跟着落地的3107进跑道等待301
ch03_01_634 下滑线太高
ch03_01_273 301二转弯改出
ch02_01_048 准备好检查开车
ch03_01_097 4018保持场高
ch03_01_486 301高度800改平增速340
ch03_01_303 明白301
ch03_01_498 请示下降高度400
ch03_01_178 泰山4018场高317
ch03_01_224 本场场压756跑道07
ch03_01_288 301可以下降
ch03_01_669 发动机着火
ch03_01_510 场压317
ch03_01_057 一转弯报
ch02_01_047 听到回答0017
ch03_01_084 4号脱离
ch03_01_414 场压30317
ch03_01_575 收到3013转弯301
ch03_01_440 3014号脱离
ch02_01_034 呃导航牌引导灯都开了吧
ch03_01_646 顶杆
ch03_01_259 301声音好
ch03_01_289 301高度200 1号明白
ch03_01_240 保持场高900加入左起落航线三边
ch03_01_409 收到3012分钟P101到场07
ch03_01_677 轮子放不下
ch03_01_611 好天气
ch03_01_655 如收到的话
ch06_01_001 17进跑道
ch03_01_425 301可以三转弯
ch03_01_435 02右转
ch03_01_389 301可以进跑道
ch03_01_356 301可以进跑道
ch03_01_367 301可以三转弯
ch03_01_465 302应答机3107
ch03_01_532 呃301明白
ch03_01_417 301可以下12
ch03_01_667 抛掉座舱盖
ch03_01_612 云高和能见度无限
ch03_01_083 4018明白
ch03_01_539 三洞幺过台02左着陆
ch03_01_155 4018检查好起落架可以着陆
ch02_01_069 高度700听指挥上升
ch03_01_175 4018明白
ch03_01_396 301检查好起飞
ch04_01_011 一会见
ch03_01_249 4018明白
ch03_01_639 注意状态
ch03_01_506 301可以上场高12
ch03_01_619 天气情况逐渐转好
ch03_01_502 3013转弯
ch03_01_065 4018明白
ch03_01_566 3栋1P20740分收到
ch03_01_208 4018明白P377前保持速度
ch03_01_171 4018检查好可以起飞
ch03_01_148 标高8,100米报
ch03_01_250 40183号联络道脱离地面有引导看到报告
ch01_01_002 5号声音好
ch03_01_100 4018明白
ch03_01_245 4018明白
ch02_01_049 0017检查好可以开车
ch03_01_280 301计时起飞
ch03_01_127 长江4018叫
ch03_01_098 4018保持标高1389米
ch03_01_601 啊301报告航线天气
ch03_01_441 301可以
ch03_01_042 地面逆风4米每秒
ch03_01_433 301
ch03_01_157 4018跑道入侵复飞
ch03_01_420 近台上空右转下900
ch03_01_390 301跑道口等待
ch03_01_295 1号
ch03_01_278 301连续
ch03_01_489 301可以上升高度到12
ch03_01_384 301可以滑出
ch03_01_285 301左转进入着陆航向
ch03_01_672 左起落架未放好
ch03_01_007 应答机3124地面温度20度
ch03_01_595 301起落架放好
ch03_01_312 301明白
ch03_01_203 标高7,200有交叉飞行保持标高7,200在史各庄等待
ch03_01_078 4018看到你了可以着陆东风4米每秒
