directory,subdirectory,filename,speaker_id,session_id,utterance_id,transcription,recording_corrupt,comment_transcriptionist,length_sec,recording_id,recording_startpos_sec
ch02,ch02_01,ch02_01_027,unknown,2,27,"呃可以吗",0,,,,
ch02,ch02_01,ch02_01_028,unknown,2,28,"可以呃下700后面正常做",0,,,,
ch02,ch02_01,ch02_01_029,unknown,2,29,"好的",0,,,,
ch02,ch02_01,ch02_01_030,unknown,2,30,"呃本场没有活动",0,,,,
ch02,ch02_01,ch02_01_031,unknown,2,31,"呃本场就云比较低你到时候看一下",0,,,,
ch02,ch02_01,ch02_01_032,unknown,2,32,"云底高有个200两吧",0,,,,
ch02,ch02_01,ch02_01_033,unknown,2,33,"好的",0,,,,
ch02,ch02_01,ch02_01_034,unknown,2,34,"呃导航牌引导灯都开了吧",0,,,,
ch02,ch02_01,ch02_01_035,unknown,2,35,"呃导航牌房间都工作好了你再检查一下",0,,,,
ch02,ch02_01,ch02_01_036,unknown,2,36,"这边有降水吗",0,,,,
ch02,ch02_01,ch02_01_037,unknown,2,37,"对的本场目前有降水你也可以观察",0,,,,
ch02,ch02_01,ch02_01_038,unknown,2,38,"3号5号明白",0,,,,
ch02,ch02_01,ch02_01_039,unknown,2,39,"呃检查一下你的着陆灯",0,,,,
ch02,ch02_01,ch02_01_040,unknown,2,40,"好的我要放到那个什么没开呢好吧",0,,,,
ch02,ch02_01,ch02_01_041,unknown,2,41,"好的看到你了检查好可以落地",0,,,,
ch02,ch02_01,ch02_01_042,unknown,2,42,"东边2号道口退出退出注意观察",0,,,,
ch02,ch02_01,ch02_01_043,unknown,2,43,"明白明白",0,,,,
ch02,ch02_01,ch02_01_044,unknown,2,44,"可以退出",0,,,,
ch02,ch02_01,ch02_01_045,unknown,2,45,"017干扰了重复一下",0,,,,
ch02,ch02_01,ch02_01_046,unknown,2,46,"那个下一站已经放飞了",0,,,,
ch02,ch02_01,ch02_01_047,unknown,2,47,"听到回答0017",0,,,,
ch02,ch02_01,ch02_01_048,unknown,2,48,"准备好检查开车",0,,,,
ch02,ch02_01,ch02_01_049,unknown,2,49,"0017检查好可以开车",0,,,,
ch02,ch02_01,ch02_01_050,unknown,2,50,"应答机不变",0,,,,
ch02,ch02_01,ch02_01_051,unknown,2,51,"呃起飞方向不变由西向东起飞以后呃",0,,,,
ch02,ch02_01,ch02_01_052,unknown,2,52,"航向飞渭南",0,,,,
ch02,ch02_01,ch02_01_053,unknown,2,53,"呃听我指挥上升",0,,,,
ch02,ch02_01,ch02_01_054,unknown,2,54,"然后联系进频率1199",0,,,,
ch02,ch02_01,ch02_01_055,unknown,2,55,"1199对吗",0,,,,
ch02,ch02_01,ch02_01_056,unknown,2,56,"对的前面有个航向渭南上到场高700听我指挥继续上升联系频率1199",0,,,,
ch02,ch02_01,ch02_01_057,unknown,2,57,"1199对吧",0,,,,
ch02,ch02_01,ch02_01_058,unknown,2,58,"对的119.9119.9",0,,,,
ch02,ch02_01,ch02_01_059,unknown,2,59,"啊119.9好吧",0,,,,
ch02,ch02_01,ch02_01_060,unknown,2,60,"对的可以开车了",0,,,,
ch02,ch02_01,ch02_01_061,unknown,2,61,"右转滑出2号道进",0,,,,
ch02,ch02_01,ch02_01_062,unknown,2,62,"呃右转2号道进",0,,,,
ch02,ch02_01,ch02_01_063,unknown,2,63,"收到",0,,,,
ch02,ch02_01,ch02_01_064,unknown,2,64,"可以进跑道",0,,,,
ch02,ch02_01,ch02_01_065,unknown,2,65,"4017检查好可以起飞",0,,,,
ch02,ch02_01,ch02_01_066,unknown,2,66,"啊4017场高700报",0,,,,
ch02,ch02_01,ch02_01_067,unknown,2,67,"对的",0,,,,
ch02,ch02_01,ch02_01_068,unknown,2,68,"好的4017你保持700听我指挥继续上升",0,,,,
ch02,ch02_01,ch02_01_069,unknown,2,69,"高度700听指挥上升",0,,,,
ch02,ch02_01,ch02_01_070,unknown,2,70,"啊什么时候可以上升高度",0,,,,
ch02,ch02_01,ch02_01_071,unknown,2,71,"呃你再保持30秒",0,,,,
ch02,ch02_01,ch02_01_072,unknown,2,72,"好的",0,,,,
ch02,ch02_01,ch02_01_073,unknown,2,73,"可以上升",0,,,,
ch02,ch02_01,ch02_01_074,unknown,2,74,"上标准气压3,600连续进频率119.9",0,,,,
ch02,ch02_01,ch02_01_075,unknown,2,75,"3,600%119.9",0,,,,
ch02,ch02_01,ch02_01_076,unknown,2,76,"对的你现在航向可以飞渭南了",0,,,,
ch02,ch02_01,ch02_01_077,unknown,2,77,"好嘞现在航向飞渭南",0,,,,
ch02,ch02_01,ch02_01_078,unknown,2,78,"4017跟民航联系好了上高度663",0,,,,
ch02,ch02_01,ch02_01_079,unknown,2,79,"哎谢谢了",0,,,,
ch02,ch02_01,ch02_01_080,unknown,2,80,"客气",0,,,,
ch02,ch02_01,ch02_01_081,unknown,2,81,"1号3号5号交",0,,,,
ch02,ch02_01,ch02_01_082,unknown,2,82,"2号关机休息",0,,,,
ch03,ch03_01,ch03_01_001,unknown,3,1,"长江4018叫1234554321",0,,,,
ch03,ch03_01,ch03_01_002,unknown,3,2,"声音怎么样",0,,,,
ch03,ch03_01,ch03_01_003,unknown,3,3,"4018长江收到声音好",0,,,,
ch03,ch03_01,ch03_01_004,unknown,3,4,"长江4018请求开车",0,,,,
ch03,ch03_01,ch03_01_005,unknown,3,5,"4018检查好可以开车",0,,,,
ch03,ch03_01,ch03_01_006,unknown,3,6,"场压756",0,,,,
ch03,ch03_01,ch03_01_007,unknown,3,7,"应答机3124地面温度20度",0,,,,
ch03,ch03_01,ch03_01_008,unknown,3,8,"4018明白场压756地面温度20度",0,,,,
ch03,ch03_01,ch03_01_009,unknown,3,9,"长江4018请求滑出",0,,,,
ch03,ch03_01,ch03_01_010,unknown,3,10,"4018检查好可以左转滑出跑道07",0,,,,
ch03,ch03_01,ch03_01_011,unknown,3,11,"滑行道滑行跑道头进跑道",0,,,,
ch03,ch03_01,ch03_01_012,unknown,3,12,"4018明白",0,,,,
ch03,ch03_01,ch03_01_013,unknown,3,13,"跑道07",0,,,,
ch03,ch03_01,ch03_01_014,unknown,3,14,"滑行道滑行",0,,,,
ch03,ch03_01,ch03_01_015,unknown,3,15,"跑道头进跑道",0,,,,
ch03,ch03_01,ch03_01_016,unknown,3,16,"4018注意滑行速度不要大",0,,,,
ch03,ch03_01,ch03_01_017,unknown,3,17,"4018明白",0,,,,
ch03,ch03_01,ch03_01_018,unknown,3,18,"长江4018请求进跑道",0,,,,
ch03,ch03_01,ch03_01_019,unknown,3,19,"4018检查好可以进跑道",0,,,,
ch03,ch03_01,ch03_01_020,unknown,3,20,"长江4018请求起飞",0,,,,
ch03,ch03_01,ch03_01_021,unknown,3,21,"4018检查好可以起飞",0,,,,
ch03,ch03_01,ch03_01_022,unknown,3,22,"起飞飞左起落航线50度左侧",0,,,,
ch03,ch03_01,ch03_01_023,unknown,3,23,"4米每秒",0,,,,
ch03,ch03_01,ch03_01_024,unknown,3,24,"4018检查好可以起飞",0,,,,
ch03,ch03_01,ch03_01_025,unknown,3,25,"起飞",0,,,,
ch03,ch03_01,ch03_01_026,unknown,3,26,"飞左起落航线50度左侧风4米每秒",0,,,,
ch03,ch03_01,ch03_01_027,unknown,3,27,"4018明白",0,,,,
ch03,ch03_01,ch03_01_028,unknown,3,28,"4018切台方报",0,,,,
ch03,ch03_01,ch03_01_029,unknown,3,29,"4018明白",0,,,,
ch03,ch03_01,ch03_01_030,unknown,3,30,"4018切台方",0,,,,
ch03,ch03_01,ch03_01_031,unknown,3,31,"40183转弯报",0,,,,
ch03,ch03_01,ch03_01_032,unknown,3,32,"4018三转弯报",0,,,,
ch03,ch03_01,ch03_01_033,unknown,3,33,"4018放起落架三转弯",0,,,,
ch03,ch03_01,ch03_01_034,unknown,3,34,"4018四转弯报",0,,,,
ch03,ch03_01,ch03_01_035,unknown,3,35,"4018明白四转弯报",0,,,,
ch03,ch03_01,ch03_01_036,unknown,3,36,"40184转弯",0,,,,
ch03,ch03_01,ch03_01_037,unknown,3,37,"4018过台报",0,,,,
ch03,ch03_01,ch03_01_038,unknown,3,38,"4018明白",0,,,,
ch03,ch03_01,ch03_01_039,unknown,3,39,"4018过台",0,,,,
ch03,ch03_01,ch03_01_040,unknown,3,40,"起落架好请求着陆",0,,,,
ch03,ch03_01,ch03_01_041,unknown,3,41,"4018检查好可以着陆",0,,,,
ch03,ch03_01,ch03_01_042,unknown,3,42,"地面逆风4米每秒",0,,,,
ch03,ch03_01,ch03_01_043,unknown,3,43,"4018明白",0,,,,
ch03,ch03_01,ch03_01_044,unknown,3,44,"4018一直向前滑注意减速",0,,,,
ch03,ch03_01,ch03_01_045,unknown,3,45,"3号脱离",0,,,,
ch03,ch03_01,ch03_01_046,unknown,3,46,"呃前方左转脱离",0,,,,
ch03,ch03_01,ch03_01_047,unknown,3,47,"3号停机位",0,,,,
ch03,ch03_01,ch03_01_048,unknown,3,48,"注意地面引导",0,,,,
ch03,ch03_01,ch03_01_049,unknown,3,49,"4018明白",0,,,,
ch03,ch03_01,ch03_01_050,unknown,3,50,"3号脱离",0,,,,
ch03,ch03_01,ch03_01_051,unknown,3,51,"前方左转脱离",0,,,,
ch03,ch03_01,ch03_01_052,unknown,3,52,"4018看到地面指挥请求脱波",0,,,,
ch03,ch03_01,ch03_01_053,unknown,3,53,"再见",0,,,,
ch03,ch03_01,ch03_01_054,unknown,3,54,"4018请求起飞",0,,,,
ch03,ch03_01,ch03_01_055,unknown,3,55,"4018检查好可以起飞",0,,,,
ch03,ch03_01,ch03_01_056,unknown,3,56,"起飞飞左直角大航线",0,,,,
ch03,ch03_01,ch03_01_057,unknown,3,57,"一转弯报",0,,,,
ch03,ch03_01,ch03_01_058,unknown,3,58,"4018明白",0,,,,
ch03,ch03_01,ch03_01_059,unknown,3,59,"4018高度150米",0,,,,
ch03,ch03_01,ch03_01_060,unknown,3,60,"一转弯",0,,,,
ch03,ch03_01,ch03_01_061,unknown,3,61,"40182转弯报",0,,,,
ch03,ch03_01,ch03_01_062,unknown,3,62,"4018明白",0,,,,
ch03,ch03_01,ch03_01_063,unknown,3,63,"40182转弯",0,,,,
ch03,ch03_01,ch03_01_064,unknown,3,64,"4018切台报",0,,,,
ch03,ch03_01,ch03_01_065,unknown,3,65,"4018明白",0,,,,
ch03,ch03_01,ch03_01_066,unknown,3,66,"4018切台",0,,,,
ch03,ch03_01,ch03_01_067,unknown,3,67,"40183转弯报",0,,,,
ch03,ch03_01,ch03_01_068,unknown,3,68,"4018明白",0,,,,
ch03,ch03_01,ch03_01_069,unknown,3,69,"40183转弯",0,,,,
ch03,ch03_01,ch03_01_070,unknown,3,70,"40184转弯报",0,,,,
ch03,ch03_01,ch03_01_071,unknown,3,71,"4018明白40184转弯",0,,,,
ch03,ch03_01,ch03_01_072,unknown,3,72,"4018检查好起落架过远台报",0,,,,
ch03,ch03_01,ch03_01_073,unknown,3,73,"4018明白",0,,,,
ch03,ch03_01,ch03_01_074,unknown,3,74,"4018过远台",0,,,,
ch03,ch03_01,ch03_01_075,unknown,3,75,"起落架好请求着陆4018出云报",0,,,,
ch03,ch03_01,ch03_01_076,unknown,3,76,"4018明白",0,,,,
ch03,ch03_01,ch03_01_077,unknown,3,77,"4018高度160米出云",0,,,,
ch03,ch03_01,ch03_01_078,unknown,3,78,"4018看到你了可以着陆东风4米每秒",0,,,,
ch03,ch03_01,ch03_01_079,unknown,3,79,"4018明白",0,,,,
ch03,ch03_01,ch03_01_080,unknown,3,80,"4018一直向前滑注意减速",0,,,,
ch03,ch03_01,ch03_01_081,unknown,3,81,"4号脱离",0,,,,
ch03,ch03_01,ch03_01_082,unknown,3,82,"左转脱离4号停机位注意地面引导",0,,,,
ch03,ch03_01,ch03_01_083,unknown,3,83,"4018明白",0,,,,
ch03,ch03_01,ch03_01_084,unknown,3,84,"4号脱离",0,,,,
ch03,ch03_01,ch03_01_085,unknown,3,85,"左转脱离",0,,,,
ch03,ch03_01,ch03_01_086,unknown,3,86,"四洞18看到地面指挥请求脱波",0,,,,
ch03,ch03_01,ch03_01_087,unknown,3,87,"再见",0,,,,
ch03,ch03_01,ch03_01_088,unknown,3,88,"长江4018请求起飞",0,,,,
ch03,ch03_01,ch03_01_089,unknown,3,89,"4018检查好可以起飞北风5米每秒",0,,,,
ch03,ch03_01,ch03_01_090,unknown,3,90,"4018保持场高156米",0,,,,
ch03,ch03_01,ch03_01_091,unknown,3,91,"4018前方联系泰山联系好报",0,,,,
ch03,ch03_01,ch03_01_092,unknown,3,92,"4018明白",0,,,,
ch03,ch03_01,ch03_01_093,unknown,3,93,"泰山4018叫",0,,,,
ch03,ch03_01,ch03_01_094,unknown,3,94,"泰山回答4018",0,,,,
ch03,ch03_01,ch03_01_095,unknown,3,95,"泰山4018",0,,,,
ch03,ch03_01,ch03_01_096,unknown,3,96,"场高156米保持",0,,,,
ch03,ch03_01,ch03_01_097,unknown,3,97,"4018保持场高",0,,,,
ch03,ch03_01,ch03_01_098,unknown,3,98,"4018保持标高1389米",0,,,,
ch03,ch03_01,ch03_01_099,unknown,3,99,"听指令上标压1389米报",0,,,,
ch03,ch03_01,ch03_01_100,unknown,3,100,"4018明白",0,,,,
ch03,ch03_01,ch03_01_101,unknown,3,101,"保持标高1389",0,,,,
ch03,ch03_01,ch03_01_102,unknown,3,102,"听指令上升1389米包",0,,,,
ch03,ch03_01,ch03_01_103,unknown,3,103,"4018标高1389米工作正常与泰山联系好请求脱波",0,,,,
ch03,ch03_01,ch03_01_104,unknown,3,104,"4018可以脱波再见",0,,,,
ch03,ch03_01,ch03_01_105,unknown,3,105,"泰山4018",0,,,,
ch03,ch03_01,ch03_01_106,unknown,3,106,"4018泰山回答工作情况",0,,,,
ch03,ch03_01,ch03_01_107,unknown,3,107,"预计进入本区时刻",0,,,,
ch03,ch03_01,ch03_01_108,unknown,3,108,"工作正常预计进入时刻11212",0,,,,
ch03,ch03_01,ch03_01_109,unknown,3,109,"4018保持标高9千米飞跃P256报",0,,,,
ch03,ch03_01,ch03_01_110,unknown,3,110,"4018明白",0,,,,
ch03,ch03_01,ch03_01_111,unknown,3,111,"飞跃P256报",0,,,,
ch03,ch03_01,ch03_01_112,unknown,3,112,"4018因雷暴",0,,,,
ch03,ch03_01,ch03_01_113,unknown,3,113,"P256到ZM导航台不能飞",0,,,,
ch03,ch03_01,ch03_01_114,unknown,3,114,"备份航线P256直飞P283",0,,,,
ch03,ch03_01,ch03_01_115,unknown,3,115,"飞备份航线P256直飞P2834018",0,,,,
ch03,ch03_01,ch03_01_116,unknown,3,116,"4018",0,,,,
ch03,ch03_01,ch03_01_117,unknown,3,117,"4018明白",0,,,,
ch03,ch03_01,ch03_01_118,unknown,3,118,"保持7,200米",0,,,,
ch03,ch03_01,ch03_01_119,unknown,3,119,"史各庄等待",0,,,,
ch03,ch03_01,ch03_01_120,unknown,3,120,"4018在整点前通过P322",0,,,,
ch03,ch03_01,ch03_01_121,unknown,3,121,"4018明白整点前通过P3224018在P377前保持当前速度",0,,,,
ch03,ch03_01,ch03_01_122,unknown,3,122,"4018明白",0,,,,
ch03,ch03_01,ch03_01_123,unknown,3,123,"P377前保持速度",0,,,,
ch03,ch03_01,ch03_01_124,unknown,3,124,"4018",0,,,,
ch03,ch03_01,ch03_01_125,unknown,3,125,"频率321.22",0,,,,
ch03,ch03_01,ch03_01_126,unknown,3,126,"前方联系07进塔台",0,,,,
ch03,ch03_01,ch03_01_127,unknown,3,127,"长江4018叫",0,,,,
ch03,ch03_01,ch03_01_128,unknown,3,128,"4018长江收到",0,,,,
ch03,ch03_01,ch03_01_129,unknown,3,129,"报告高度位置预达时刻",0,,,,
ch03,ch03_01,ch03_01_130,unknown,3,130,"4018标高89",0,,,,
ch03,ch03_01,ch03_01_131,unknown,3,131,"能见飞行正常工作",0,,,,
ch03,ch03_01,ch03_01_132,unknown,3,132,"预达时刻11:15请求着陆条件",0,,,,
ch03,ch03_01,ch03_01_133,unknown,3,133,"4018着陆条件超收本场场压756跑道07能见度大于10公里",0,,,,
ch03,ch03_01,ch03_01_134,unknown,3,134,"云高356米",0,,,,
ch03,ch03_01,ch03_01_135,unknown,3,135,"云量5个北风5米每秒场面温度20度",0,,,,
ch03,ch03_01,ch03_01_136,unknown,3,136,"本场没有活动",0,,,,
ch03,ch03_01,ch03_01_137,unknown,3,137,"塔台4018",0,,,,
ch03,ch03_01,ch03_01_138,unknown,3,138,"着陆条件超收本场场压756跑道07",0,,,,
ch03,ch03_01,ch03_01_139,unknown,3,139,"能见度大于12公里云高",0,,,,
ch03,ch03_01,ch03_01_140,unknown,3,140,"128米云量5个",0,,,,
ch03,ch03_01,ch03_01_141,unknown,3,141,"北风5米每秒",0,,,,
ch03,ch03_01,ch03_01_142,unknown,3,142,"场场面温度20度本场没有活动",0,,,,
ch03,ch03_01,ch03_01_143,unknown,3,143,"4018明白",0,,,,
ch03,ch03_01,ch03_01_144,unknown,3,144,"场压756",0,,,,
ch03,ch03_01,ch03_01_145,unknown,3,145,"跑道07",0,,,,
ch03,ch03_01,ch03_01_146,unknown,3,146,"4018请求下降高度",0,,,,
ch03,ch03_01,ch03_01_147,unknown,3,147,"4018可以下降高度",0,,,,
ch03,ch03_01,ch03_01_148,unknown,3,148,"标高8,100米报",0,,,,
ch03,ch03_01,ch03_01_149,unknown,3,149,"4018标标高8,100米",0,,,,
ch03,ch03_01,ch03_01_150,unknown,3,150,"4018继续下降到标压7,500米报",0,,,,
ch03,ch03_01,ch03_01_151,unknown,3,151,"4018明白",0,,,,
ch03,ch03_01,ch03_01_152,unknown,3,152,"4018保持场高900米加入左起落航线左三边",0,,,,
ch03,ch03_01,ch03_01_153,unknown,3,153,"4018明白",0,,,,
ch03,ch03_01,ch03_01_154,unknown,3,154,"长江4018起落架放好请求着陆",0,,,,
ch03,ch03_01,ch03_01_155,unknown,3,155,"4018检查好起落架可以着陆",0,,,,
ch03,ch03_01,ch03_01_156,unknown,3,156,"4018明白",0,,,,
ch03,ch03_01,ch03_01_157,unknown,3,157,"4018跑道入侵复飞",0,,,,
ch03,ch03_01,ch03_01_158,unknown,3,158,"4018复飞",0,,,,
ch03,ch03_01,ch03_01_159,unknown,3,159,"4018高度356米",0,,,,
ch03,ch03_01,ch03_01_160,unknown,3,160,"左转建立左航线",0,,,,
ch03,ch03_01,ch03_01_161,unknown,3,161,"4018明白",0,,,,
ch03,ch03_01,ch03_01_162,unknown,3,162,"4018",0,,,,
ch03,ch03_01,ch03_01_163,unknown,3,163,"5号联络道脱离地面有引导看到报告",0,,,,
ch03,ch03_01,ch03_01_164,unknown,3,164,"4018明白",0,,,,
ch03,ch03_01,ch03_01_165,unknown,3,165,"4018经07道空中滑行至停机坪注意两边的吹雪",0,,,,
ch03,ch03_01,ch03_01_166,unknown,3,166,"4018明白",0,,,,
ch03,ch03_01,ch03_01_167,unknown,3,167,"长江4018看到地面指挥请求脱波",0,,,,
ch03,ch03_01,ch03_01_168,unknown,3,168,"4018",0,,,,
ch03,ch03_01,ch03_01_169,unknown,3,169,"可以脱波再见",0,,,,
ch03,ch03_01,ch03_01_170,unknown,3,170,"长江4018请求起飞",0,,,,
ch03,ch03_01,ch03_01_171,unknown,3,171,"4018检查好可以起飞",0,,,,
ch03,ch03_01,ch03_01_172,unknown,3,172,"北风5米每秒",0,,,,
ch03,ch03_01,ch03_01_173,unknown,3,173,"4018保持场高317后出航",0,,,,
ch03,ch03_01,ch03_01_174,unknown,3,174,"4018前方联系泰山联系好报",0,,,,
ch03,ch03_01,ch03_01_175,unknown,3,175,"4018明白",0,,,,
ch03,ch03_01,ch03_01_176,unknown,3,176,"泰山4018叫",0,,,,
ch03,ch03_01,ch03_01_177,unknown,3,177,"泰山回答4018",0,,,,
ch03,ch03_01,ch03_01_178,unknown,3,178,"泰山4018场高317",0,,,,
ch03,ch03_01,ch03_01_179,unknown,3,179,"保持上升场高317",0,,,,
ch03,ch03_01,ch03_01_180,unknown,3,180,"听指令上升3107米报",0,,,,
ch03,ch03_01,ch03_01_181,unknown,3,181,"啊4栋18明白保持标高3107听指令上升3107米",0,,,,
ch03,ch03_01,ch03_01_182,unknown,3,182,"哎4栋18明白",0,,,,
ch03,ch03_01,ch03_01_183,unknown,3,183,"保持场高标高3107",0,,,,
ch03,ch03_01,ch03_01_184,unknown,3,184,"呃听指令上升3呃标压3107米报",0,,,,
ch03,ch03_01,ch03_01_185,unknown,3,185,"4018标高3107",0,,,,
ch03,ch03_01,ch03_01_186,unknown,3,186,"工作正常",0,,,,
ch03,ch03_01,ch03_01_187,unknown,3,187,"呃与泰山联系好请求脱波",0,,,,
ch03,ch03_01,ch03_01_188,unknown,3,188,"4018可以脱波再见",0,,,,
ch03,ch03_01,ch03_01_189,unknown,3,189,"泰山4018",0,,,,
ch03,ch03_01,ch03_01_190,unknown,3,190,"4018泰山回答工作情况",0,,,,
ch03,ch03_01,ch03_01_191,unknown,3,191,"预计进入本区时刻",0,,,,
ch03,ch03_01,ch03_01_192,unknown,3,192,"泰山",0,,,,
